genes,cidx,yeastvalues_ 1,yeastvalues_ 2,yeastvalues_ 3,yeastvalues_ 4,yeastvalues_ 5,yeastvalues_ 6,yeastvalues_ 7,yeastvalues_ 8,yeastvalues_ 9,yeastvalues_10,yeastvalues_11,yeastvalues_12,yeastvalues_13,yeastvalues_14,yeastvalues_15,yeastvalues_16,yeastvalues_17,yeastvalues_18
YAL018C,10,0.46,0.28,0.16,-1.72,0.33,0.05,0.22,0.3,0,0.22,-0.15,-0.06,0.11,-0.47,0.22,0.05,-0.15,0.16
YAR071W,16,-1.35,-0.86,-0.22,-0.38,-0.65,-0.79,0.02,0.6,1.38,1.59,1.03,0.99,0.11,-0.39,-0.86,-0.41,-0.2,0.41
YBL002W,11,-2.06,-1.98,-1.64,-0.21,1.21,0.69,0.85,0.43,-0.32,-0.77,-1.1,-0.02,0.88,1.3,1.29,1.29,0.16,0
YBL003C,11,-1.61,-2.55,-1.09,-0.55,0.98,1.14,0.9,0.43,-0.41,-0.38,-1.18,-0.16,0.77,1.27,1.17,1.3,0.05,-0.09
YBL016W,9,2.31,0.46,-0.76,-0.85,-0.48,-0.1,-0.45,0.36,-0.65,-0.43,-0.26,0.1,0.05,0.19,0.02,0.37,-0.3,0.41
YBR009C,11,-2.36,-2.71,-1.46,-0.16,1.51,1.65,0.68,0.41,-0.31,-0.33,-0.74,-0.01,0.97,1.01,1.36,0.67,0.08,-0.26
YBR010W,11,-1.81,-1.94,-1.33,0.01,1.51,0.91,0.69,0.11,-0.4,-0.78,-1.12,-0.09,0.96,1.32,1.24,0.57,0.35,-0.2
YBR038W,16,-1.2,0.56,-0.71,-2.24,-1.68,-0.57,0.72,0.74,1.63,0.1,0.51,0.46,-0.71,0.86,-0.2,0.05,1.46,0.21
YBR054W,16,-1.35,-1.1,-0.39,-1.42,-1.22,-1.84,-0.49,0.37,1.21,1.54,1.39,1.12,0.3,0.21,-0.32,0.21,0.65,1.13
YBR088C,6,-1.15,-0.86,1.21,1.62,1.12,0.16,-0.44,-0.93,-1.23,-0.62,0.62,1.3,1.08,0.27,0.04,-0.51,-0.8,-0.89
YBR092C,16,-0.11,-0.33,-0.43,-0.74,-0.88,-1.2,-0.18,0.3,1.64,0.89,0.9,0.27,0.05,-0.29,-1.09,0.32,0.41,0.47
