YNL309W,2.9707108702725e-124,1,-0.53,-0.04,0.6,0.51,0.2,-0.01,-0.01,-0.29,-0.37,0.04,0.18,0.31,0.2,-0.21,-0.17,-0.21,-0.21,0
YOL017W,6.5968651965882e-10,0.955606774392653,-0.7,-0.12,1.17,0.93,0.39,-0.35,-0.19,-0.43,-0.72,0.13,0.16,0.59,0.25,-0.19,-0.49,-0.31,-0.41,0.29
YGR109C,1.07906269651463e-08,0.936566484738467,-1.79,0,2.13,1.75,0.23,0.15,-0.66,-0.77,-0.73,-0.15,1.14,1.41,0.46,-0.21,-0.77,-0.56,-1.04,-0.58
YPL267W,4.0177798357135e-08,0.924886772304752,-1.12,-0.36,1.37,1.17,0.17,-0.51,-0.2,-0.59,-0.72,-0.45,0.85,1,0.41,-0.14,-0.27,-0.32,-0.51,0.22
YDL156W,5.03934207755577e-08,0.922660198831676,-0.39,-0.17,0.6,0.82,0.22,-0.01,-0.11,-0.22,-0.43,-0.06,0.22,0.43,0.25,-0.17,-0.22,-0.3,-0.1,-0.35
YER111C,5.82696126705998e-08,0.921197165409359,-1.21,-0.26,1.36,1.37,0.54,0.18,-0.85,-0.82,-0.75,0.07,0.89,0.78,0.37,-0.19,-0.11,-0.54,-0.34,-0.47
YPR202W,5.94149415026874e-08,0.92099890055084,-0.79,-0.25,1.18,0.84,0.19,-0.11,-0.42,-0.56,-0.36,-0.12,0.68,0.8,0.08,-0.24,-0.14,-0.27,-0.32,-0.19
YLR465C,8.68310594325802e-08,0.917029452794738,-0.67,-0.46,1.12,1.1,0.16,-0.22,-0.28,-0.48,-0.45,-0.06,0.56,0.87,0.24,-0.35,-0.17,-0.35,-0.17,-0.37
YLR103C,9.01803516486467e-08,0.916622332888792,-0.63,-0.19,0.91,0.75,0.49,0.08,-0.29,-0.33,-0.46,-0.33,0.41,0.6,0.34,-0.14,-0.24,-0.14,-0.44,-0.37
YJL181W,1.9438945540132e-07,0.907897095418663,-0.35,-0.04,0.65,0.34,0.16,-0.16,-0.04,-0.26,-0.41,-0.08,0.28,0.46,0.36,-0.24,-0.14,-0.1,-0.14,-0.32
YNL233W,2.7442733964274e-07,0.903676085680322,-0.37,-0.41,0.8,0.91,0.25,-0.03,-0.2,-0.33,-0.52,0.01,0.08,0.64,0.22,-0.18,-0.43,-0.45,-0.37,0.35
YCL024W,3.26821423894371e-07,0.901460764438846,-0.41,0.2,1.31,0.92,0.26,-0.36,-0.26,-0.94,-0.7,0.06,0.61,0.74,0.56,-0.28,-0.6,-0.28,-0.41,-0.43
